symbol,score,weight,alloc_dollars,last_price,timestamp
AMZN,1.050000,0.050000,0.00,220.6700,20251001-155023
EG,1.050000,0.050000,0.00,355.6800,20251001-155023
GM,1.050000,0.050000,0.00,61.2400,20251001-155023
K,1.050000,0.050000,0.00,82.3100,20251001-155023
KMI,1.050000,0.050000,0.00,28.3350,20251001-155023
MAR,1.050000,0.050000,0.00,261.4250,20251001-155023
MCD,1.050000,0.050000,0.00,299.8750,20251001-155023
NDAQ,1.050000,0.050000,0.00,87.6000,20251001-155023
OKE,1.050000,0.050000,0.00,72.4602,20251001-155023
PODD,1.050000,0.050000,0.00,298.7350,20251001-155023
RCL,1.050000,0.050000,0.00,316.8550,20251001-155023
SWKS,1.050000,0.050000,0.00,76.5350,20251001-155023
YUM,1.050000,0.050000,0.00,152.3200,20251001-155023
STE,1.029985,0.049806,0.00,237.7800,20251001-155023
A,1.000000,0.048356,0.00,135.7550,20251001-155023
ABBV,1.000000,0.048356,0.00,240.2400,20251001-155023
AEP,1.000000,0.048356,0.00,113.0700,20251001-155023
AIZ,1.000000,0.048356,0.00,216.5600,20251001-155023
ALL,1.000000,0.048356,0.00,213.6725,20251001-155023
APD,1.000000,0.048356,0.00,269.2500,20251001-155023
